
Question	Correct Answer	Option 1	Option 2	Difficulty
Kdo byl Jan Hus?	Český kazatel a reformátor církve počátku 15. století.	Velitel husitského vojska za třicetileté války.	Biskup, který založil jezuitský řád.	1
Jak a kde zemřel Jan Hus?	Byl upálen jako kacíř na koncilu v Kostnici roku 1415.	Padl v bitvě u Lipan roku 1434.	Zemřel přirozenou smrtí ve vyhnanství v Ženevě.	1
Co Hus nejvíce kritizoval na katolické církvi své doby?	Prodej odpustků a nemorální život části kléru.	Uctívání svatých a relikvií.	Používání latiny při bohoslužbách.	2
Co požadovali husité v otázce přijímání svátosti eucharistie?	Aby laici přijímali pod obojí – tedy nejen chléb, ale i víno jako kněží.	Aby přijímali pouze chléb a víno bylo určeno jen kněžím.	Aby se eucharistie vůbec nekonala, dokud církev neprojde reformou.	1
Jaký symbol přijali husité za znak svého hnutí a proč?	Kalich – symbol přijímání pod obojí pro všechny věřící.	Husí peří – podle jména Mistra Jana Husa.	Červený kříž – symbol křižácké revolty proti církvi.	1
Jakou bojovou taktiku proslavili husité?	Vozovou hradbu – opevnění z vozů, za nimiž se bránili a odtud útočili.	Masivní jízdu těžkooděných rytířů v klínové formaci.	Přepadové výsadky padákem za nepřátelské linie.	1
Jakými zbraněmi často husité improvizovali místo tradičních rytířských zbraní?	Zemědělskými nástroji – např. cepy upravenými na boj, sudlicemi apod.	Výhradně dlouhými meči z damascénské oceli.	Jedovatými střelami a chemickými zbraněmi.	2
Jaký typ zbraní husité jako jedni z prvních plošně využívali na bojišti?	Palné zbraně – hákovnice, ručnice a děla.	Kuše s ocelovými tětivami.	Bojové vozy s namontovanými kosami.	2
Co znamenal pojem „spanilé jízdy“ v husitském období?	Vojenské výpravy husitů do okolních zemí šířící ideje a získávající zásoby.	Oslavné průvody husitských vozů na počest vítězství.	Tajné vyjednávací mise husitských vůdců na dvory panovníků.	2
Která slavná bitva husitských válek se obešla bez boje, protože křižáci utekli předem ze strachu?	Bitva u Domažlic (1431).	Bitva u Sudoměře (1420).	Bitva u Lipan (1434).	2
Která bitva znamenala konec husitských válek?	Bitva u Lipan roku 1434.	Bitva na Bílé hoře roku 1620.	Bitva u Moháče roku 1526.	1
Jak se rozdělila česká společnost po smrti krále Václava IV. v období husitských válek?	Na husity různých frakcí (radikály a umírněné) v Čechách a na katolíky loajální Zikmundovi, hlavně na Moravě.	Na české husity a německé katolíky čistě podle národnosti.	Na stoupence Jana Husa a stoupence Jana Žižky bojující proti sobě.	3
Kdo byli umírnění a radikální husité a čím se lišili?	Umírnění (kališníci) chtěli jen reformu církve a návrat pořádku, radikální (táborité) chtěli zásadní proměnu celé společnosti a očekávali konec světa.	Umírnění podporovali krále Zikmunda, radikální stáli na straně papeže.	Umírnění bojovali jen duchovně modlitbou, radikální pouze zbraněmi.	3
Kdo byli Jan Žižka a Prokop Holý?	Významní husitští vojevůdci, kteří vedli husitská vojska v bitvách.	Katoličtí biskupové, kteří se snažili vyjednat mír s husity.	Dva vůdci selské rebelie v Německu.	2
Jak zacházeli osmanští Turci s křesťany a Židy ve své říši?	Tolerovali je jako „lidi Knihy“ – směly vyznávat svou víru výměnou za zvláštní daně a omezení.	Nutili je násilím přijímat islám pod trestem smrti.	Umožnili jim plně rovnoprávné postavení bez jakýchkoli podmínek.	2
Co byli janičáři v Osmanské říši?	Elitní pěší vojsko osmanských sultánů, původně často rekrutované z křesťanských chlapců.	Křesťanští poutníci putující do Jeruzaléma přes osmanské území.	Obyvatelé autonomních židovských čtvrtí v osmanských městech.	2
Proč byly často podmínky křesťanských poddaných pod osmanskou nadvládou snesitelnější než pod křesťanskou feudální vrchností?	Osmané sice vybírali zvláštní daně a omezovali okázalost, ale obecně respektovali náboženský život a nevolnictví tam nebylo tak tvrdé.	Nebyly – osmanská správa byla vždy brutálnější než evropská.	Protože osmanští sultáni tajně vyznávali křesťanství.	3
Která významná evropská metropole padla roku 1453 do rukou Osmanů?	Konstantinopol (Cařihrad).	Vídeň.	Praha.	1
Co znamená pojem renesance v dějinách?	Obrození antiky – kulturní směr 14.–16. století, který se inspiroval antickým uměním a myšlením.	Středověké náboženské hnutí usilující o reformu církve.	Styl vlády absolutních králů ve Francii 17. století.	1
Kde vzniklo renesanční hnutí a proč právě tam?	V italských městských státech (např. Florencie), které zbohatly obchodem a mecenáši tam podporovali umění.	V německých zemích po úspěchu husitů.	Ve Skandinávii díky objevu knihtisku.	2
Které starověké kultury obdivovala a obnovovala renesance?	Antické – řeckou a římskou.	Egyptskou a mezopotámskou.	Keltskou a vikingskou.	1
Jakým jazykem začali humanisté a renesanční učenci psát svá díla, místo dosavadní latiny?	Ve svých národních jazycích (např. italsky, francouzsky, česky).	V řečtině, aby se co nejvíce přiblížili antice.	Pokračovali výhradně v latině.	2
Na jaký materiál se psaly knihy ve středověké Evropě před rozšířením papíru?	Na pergamen (speciálně zpracovanou zvířecí kůži).	Na papyrus dovážený z Egypta.	Na ručně vyráběný bavlněný papír.	1
Z čeho se původně vyráběl papír, než se začala používat dřevní buničina?	Ze starých lněných a bavlněných hadrů.	Z jemné telecí kůže.	Z listů a kůry stromů.	2
Proč se papír stal až v 15. století hlavním materiálem pro psaní knih?	Protože s rozvojem knihtisku bylo potřeba levné a dostupné médium místo drahého pergamenu.	Protože do té doby křesťanská církev zakazovala používání papíru.	Protože pergamen přestal být vyráběn kvůli vyhynutí dobytka.	2
Který vynález umožnil masové šíření knih a informací v 15. století?	Knihtisk s pohyblivými literami (Johannes Gutenberg).	Strojový papírenský lis.	Telegraf.	1
Uveďte jeden pozitivní důsledek vynálezu knihtisku.	Zlevnění knih a širší dostupnost vzdělání pro více lidí.	Okamžité sjednocení církve a odstranění rozkolů.	Zastavení šíření kacířských myšlenek.	1
Uveďte jeden negativní důsledek vynálezu knihtisku.	Rychlejší šíření pomluv a nepravdivých informací (například nenávistné letáky).	Naprosto se vytratila ruční výroba knih a umění iluminace.	Lidé ztratili zájem o vzdělání, když byly knihy běžné.	2
Jak knihtisk napomohl evropské reformaci v 16. století?	Umožnil rychlé rozšíření Lutherových a dalších reformních myšlenek tiskem spisů a letáků.	Zabránil šíření reformačních myšlenek, protože cenzura tiskla jen Bibli.	Neměl vliv – reformace proběhla před vynálezem knihtisku.	1
Kdy a kde Martin Luther uveřejnil svých 95 tezí proti odpustkům?	31. října 1517 ve Wittenbergu (přibitím na dveře kostela).	6. července 1415 v Kostnici.	24. srpna 1572 v Paříži.	2
Co je to odpustek v kontextu katolické církve?	Doklad o odpuštění časných trestů za hříchy, často udělovaný výměnou za peněžitý dar.	Svátost smíření, kdy kněz odpouští hříchy.	Obřad posledního pomazání umírajícího.	1
Co se rozumí pojmem očistec?	Stav/záhrobní místo dočasného očišťování duší před vstupem do nebe.	Peklo pro nevěřící, odkud není návratu.	Zemský ráj, kde žili první lidé před hříchem.	1
Jaké hlavní požadavky měl Martin Luther na reformu církve?	Odmítnutí odpustků, důraz na Bibli jako jedinou autoritu a spásu z víry a Boží milosti.	Zrušení celibátu kněží a zavedení mnohobožství.	Přenesení papežského sídla zpět do Jeruzaléma.	2
Na co kladl Martin Luther důraz ve svém učení oproti katolické doktríně?	Na primát Bible a ospravedlnění vírou z milosti, ne skrze církevní odpustky či skutky.	Na uctívání obrazů svatých jako prostředek spásy.	Na absolutní poslušnost papeži v otázkách víry.	2
Jak Luther chápal způsob odpuštění hříchů?	Věřil, že jen Bůh odpouští hříchy z milosti zdarma, nikoli za odpustkové poplatky.	Trval na tom, že hříchy může odpustit pouze kněz svou mocí.	Tvrdil, že člověk si hříchy musí odčinit sám dobrými skutky bez Boží milosti.	3
Které povstání proběhlo v Německu pod vlivem Lutherova učení a jak dopadlo?	Velké selské povstání (1524–1525), bylo krutě potlačeno a desetitisíce sedláků byly zabity.	Stavovské povstání, které svrhlo císaře – skončilo vítězstvím sedláků.	Husitské povstání – vyústilo ve vytvoření luteránské církve.	2
Jak se Martin Luther postavil k selskému povstání inspirovanému jeho myšlenkami?	Odsoudil ho a vyzval šlechtu k potlačení bouří, protože nesouhlasil s násilím sedláků.	Postavil se do čela povstání a vedl selskou armádu.	Zůstal neutrální a snažil se neovlivňovat průběh povstání.	3
Který mír ukončil náboženské války mezi katolíky a luterány v Německu a co ustanovil?	Augsburský mír (1555) – stanovil, že vládce určuje náboženství země (katolické nebo luterské) a poddaní se mu mohou přizpůsobit nebo odstěhovat.	Vestfálský mír (1648) – povolil svobodu vyznání pro všechna náboženství.	Edikt nantský (1598) – zakázal protestantství v říši.	2
Jaké pravidlo vyjadřuje zásada „Cuius regio, eius religio“ zavedená v 16. stol.?	"Náboženství vládce = náboženství země; poddaní musí přijmout víru svého vladaře nebo odejít."	Komu se zachce, ten může svobodně měnit náboženství kdykoli.	Císař stanoví jedno náboženství pro celou říši závazně.	2
Ve které polovině století proběhla luteránská reformace?	V první polovině 16. století.	Na přelomu 14. a 15. století.	V první polovině 17. století.	1
Co byla protireformace?	Reakce katolické církve na reformaci – vlastní obnova církve a potlačování protestantů (např. Tridentský koncil, jezuité).	Jiné označení pro kalvinistickou větev reformace.	Vnitřní spor mezi katolickými papeži v době renesance.	1
Co řešil Tridentský koncil (1545–1563)?	Katolickou reformu – upevnil katolickou nauku, odstranil zneužívání a zahájil obnovu církve proti reformaci.	Vyhlásil první křížovou výpravu proti protestantům v Německu.	Svolal setkání papeže a Luthera k usmíření, ale bezvýsledně.	2
Jaké země v Evropě zůstaly po reformaci převážně katolické a které přijaly protestantství?	Katolické zůstaly např. Španělsko, Itálie, habsburské země; protestantské se staly např. severní Německo, Skandinávie, Anglie (anglikánská).	Celá západní Evropa přijala protestantství, východní zůstala katolická.	Jen české země přijaly protestantství, zbytek Evropy zůstal katolický.	3
Kdo to byl Jan Amos Komenský a proč musel opustit České království?	Český bratrský biskup a pedagog, který po porážce stavovského povstání (1620) odešel do exilu kvůli rekatolizaci země.	Katolický kardinál, který odešel do Říma organizovat protireformaci.	Vůdce rolnického povstání, který emigroval po prohře sedláků.	2
Proč mnozí obyvatelé českých zemí odešli do emigrace po roce 1620?	Protože nekatolíci museli opustit zemi, pokud nechtěli přestoupit ke katolicismu (Habsburkové obnovili katolickou víru násilně).	Kvůli rozsáhlému hladomoru a moru po bitvě na Bílé hoře.	Za lepšími ekonomickými podmínkami v koloniích.	1
Uveďte jeden pozitivní důsledek emigrace protestantů z českých zemí pro země, kam odešli.	Přínos nové pracovní síly a znalostí – imigranti posílili ekonomiku a kulturu hostitelských zemí.	Úplné náboženské sjednocení Evropy v nových zemích.	Okamžité ukončení všech náboženských konfliktů v cizině.	2
Uveďte jeden negativní důsledek emigrace českých nekatolíků pro české země.	Úbytek vzdělaného obyvatelstva a pracovních sil, hospodářské oslabení a kulturní ztráty.	Zavlečení morové epidemie do Čech navrátilci.	Pokles vlivu katolické církve v Čechách kvůli odchodu věřících.	2
Jak se změnila náboženská situace v českých zemích po bitvě na Bílé hoře?	Byla obnovena katolická jednota – protestantství bylo zakázáno a nastala rekatolizace pod Habsburky.	Čechy zůstaly rozdělené mezi kalvinisty a luterány.	Byla vyhlášena úplná svoboda náboženství pro každého.	1
Kdo založil anglikánskou církev a proč?	Anglický král Jindřich VIII., protože chtěl zrušit své manželství a papež mu nedal souhlas, tak se odtrhl od Říma.	Mnich Martin Luther, protože nesouhlasil s papežem, tak odešel do Anglie a založil církev.	Královna Marie I., aby pomstila smrt svého otce.	1
V čem se liší anglikánská církev od katolické?	Nemá v čele papeže, hlavou církve je anglický panovník; jinak převzala mnoho katolických rysů.	Odmítá Bibli a uznává jen královy příkazy.	Nemá žádné kostely, bohoslužby se konají jen v domech šlechty.	1
Kdo se stal hlavou anglikánské církve po jejím založení?	Sám král (Jindřich VIII. a jeho nástupci).	Arcibiskup canterburský jako nezávislý patriarcha.	Parlamentní výbor biskupů.	1
Kolik manželek měl Jindřich VIII.?	Celkem šest.	Tři.	Osm.	1
Kolik ze svých manželek nechal Jindřich VIII. popravit?	Dvě (Annu Boleynovou a Kateřinu Howardovou).	Žádnou – všechny zemřely přirozenou smrtí.	Čtyři.	2
Které děti Jindřicha VIII. zasedly na anglickém trůně?	Jeho dcery Marie I. a Alžběta I. (a také syn Eduard VI.).	Jeho synové Arthur a Jakub.	Žádné, dynastie vymřela s Jindřichem.	2
Proč se Jindřich VIII. rozvedl s první manželkou Kateřinou Aragonskou?	Neměla s ním syna (žádného mužského dědice) a on toužil zajistit nástupnictví.	Obvinil ji z čarodějnictví a zrady.	Zjistil, že je tajně protestantkou.	2
Koho si vzal Jindřich VIII. za manželku po rozvodu s Kateřinou Aragonskou?	Annu Boleynovou.	Marií Stuartovnu.	Johanku z Arku.	1
Jak dopadla Anna Boleynová, druhá manželka Jindřicha VIII.?	Byla obviněna (např. z nevěry a zrady) a roku 1536 popravena.	Zemřela přirozenou smrtí při porodu syna.	Utekla do Francie a tam dožila v klášteře.	2
Jak se jmenovaly dcery Jindřicha VIII., které se staly anglickými královnami?	Marie (I. Tudorovna, zvaná Krvavá) a Alžběta I.	Marie Stuartovna a Kateřina Veliká.	Anna a Viktorie.	1
Proč byl Jindřich VIII. označován za „renesančního“ panovníka?	Byl velmi vzdělaný, podporoval umění a sám tvořil – psal básně, skladby, zajímal se o vědu.	Nařídil zbořit gotické katedrály a stavět renesanční paláce.	Oblékal se do kostýmu starořímského císaře a pořádal antické slavnosti.	2
Jaké následky mělo střídání dědiců po Jindřichu VIII.?	Vznikl nástupnický chaos a náboženské zvraty, z něhož nakonec jako stabilní vládce vyšla Alžběta I.	Okamžité rozdělení Anglie na několik samostatných království.	Žádné – jeho syn Eduard VI. vládl 50 let v klidu.	2
Co byla Bartolomějská noc (23.–24. srpna 1572) ve Francii?	Masakr francouzských protestantů (hugenotů) v Paříži katolíky během svatby královské princezny.	Noční zasedání francouzského parlamentu, kde byla vyhlášena náboženská svoboda.	Série náboženských disputací mezi katolíky a hugenoty.	1
Proč vypukl masakr hugenotů během Bartolomějské noci?	Katolíci využili sraz hugenotské šlechty na královské svatbě a pod záminkou spiknutí nechali pobít protestantské hosty.	Hugenoti zaútočili na katedrálu v Paříži a katolíci se jen bránili.	Došlo k neúrodě a lidé obvinili hugenoty z otravy úrody.	2
Který francouzský šlechtic (pozdější král) unikl Bartolomějské noci a co udělal pro ukončení náboženských válek?	Jindřich Navarrský (pozdější král Jindřich IV.), který konvertoval ke katolicismu a vydal Edikt nantský zaručující hugenotům omezenou svobodu.	Kardinál Richelieu, který sjednal mír mezi oběma stranami.	Ludvík XIV., který zrušil všechna omezení a nastolil svobodu vyznání.	3
Jak dopadly náboženské války ve Francii v 16. století?	Byly ukončeny kompromisem – Ediktem nantským 1598, který zaručil protestantům jisté svobody, a na trůn nastoupil konvertovaný Jindřich IV.	Skončily úplným vítězstvím katolíků a vyhnáním všech protestantů.	Pokračovaly až do Velké francouzské revoluce bez přerušení.	2
Kdo byl císař Rudolf II. a kdy žil?	Habsburský císař a český král konce 16. a počátku 17. století, sídlící převážně v Praze.	Lucemburský vévoda z 15. století, syn Karla IV.	Rakouský arcivévoda z 18. století, který prohrál s Napoleonem.	1
Proč se Rudolf II. přestěhoval z Vídně do Prahy?	Kvůli hrozbě osmanské invaze a napjatým vztahům s rodinou – Praha mu poskytla útočiště a prostor pro jeho zájmy.	Protože ho Češi zvolili za krále místo Habsburků.	Aby unikl morové epidemii, které se Praha vyhnula.	2
Čím byl Rudolf II. typickým „renesančním panovníkem“?	Byl mecenášem umění a vědy, sbíral umělecká díla a obklopil se učenci a alchymisty.	Osobně vedl armády v mnoha vítězných bitvách.	Prosadil přísnou katolickou ortodoxii a zakázal veškeré umění.	1
Které známé osobnosti působily na dvoře Rudolfa II. v Praze?	Například astronomové Tycho Brahe a Johannes Kepler, malíř Giuseppe Arcimboldo či alchymista Edward Kelley.	Mnich Martin Luther a filozof Voltaire.	Mořeplavec Kolumbus a malíř Leonardo da Vinci.	2
Co obsahovaly rozsáhlé sbírky císaře Rudolfa II.?	Umělecké obrazy a sochy, vzácné přírodní kuriozity, vědecké přístroje, knihy a alchymistické artefakty.	Výhradně vojenské zbraně a brnění z celého světa.	Především sbírku korunovačních klenotů všech evropských monarchií.	1
Jakou nemocí trpěl Rudolf II. a jak ovlivnila jeho povahu?	Pravděpodobně syfilidou, která mohla způsobovat jeho výkyvy nálad, depresivní stavy a paranoidní chování.	Tuberkulózou, která ho činila fyzicky slabým, ale duševně ho neovlivnila.	Cukrovkou, jež mu zatemňovala úsudek.	2
Co byl Rudolfův Majestát z roku 1609?	Dekret Rudolfa II. zaručující náboženskou svobodu českým stavům (hlavně protestantům).	Rudolfův osobní deník plný mystických vizí.	Smlouva s Osmanskou říší o míru a obchodu.	2
Jaké následky mělo vydání a následné porušení Rudolfova Majestátu?	Majestát dal protestantům svobodu, jeho zrušení nástupci (Matyášem a Ferdinandem II.) vedlo k nespokojenosti stavů a přispělo k vypuknutí stavovského povstání 1618.	Nemělo žádné dopady, protože Rudolf II. ho sám zrušil hned za rok.	Způsobilo masový přestup katolíků k protestantství po celém Rakousku.	3
Jakou vlastnost či chování lze označit za slabost Rudolfa II. jako panovníka?	Jeho nerozhodnost v politice a uzavírání se před okolním světem, zanedbávání vladařských povinností.	Přehnaně asketický život a odmítání jakýchkoli požitků.	Chronické přeceňování moci stavů a přílišná demokratická vláda.	2
Uveďte jeden důvod, proč lze Rudolfa II. hodnotit pozitivně.	Podpořil rozkvět vědy a umění v Praze, přilákal významné učence a umělce, a vydal Majestát zaručující náboženskou toleranci.	Díky němu Habsburská říše výrazně rozšířila svá území dobyvačnými válkami.	Jako první v Evropě zrušil nevolnictví ve všech svých zemích.	2
Uveďte jeden důvod, proč lze Rudolfa II. hodnotit negativně.	Svou nečinností a podivínstvím oslabil moc habsburské monarchie a přenechal iniciativu svým rivalům (bratrovi Matyášovi).	Byl pověstný krutostí vůči poddaným a masovým popravám nevinných.	Zradil katolickou církev a tajně se stal protestantem, čímž vyvolal chaos.	2
Kdy a kde proběhla třicetiletá válka?	V letech 1618–1648 převážně ve střední Evropě (říše, dnešní Německo, Čechy), ale zasáhla téměř celou Evropu.	1555–1585 ve Španělsku a Portugalsku.	1648–1678 v Severní Americe.	1
Jak začala třicetiletá válka a jaký měla původně charakter?	Začala stavovským povstáním v českých zemích jako konflikt katolíků a protestantů (náboženská válka).	Začala vpádem Osmanské říše do Uher čistě jako boj křesťanů s muslimy.	Začala pruským útokem na Rakousko jako dynastická válka o dědictví.	1
Jak se proměnil charakter třicetileté války v jejím průběhu?	Z původně náboženského konfliktu mezi katolíky a protestanty se stal mocenský boj evropských států (např. Francie vs. Habsburkové).	Nejprve šlo o boj národů za nezávislost, ale skončilo to sporem teologů o dogmata.	Původně to byla občanská válka v Anglii, která se přenesla do Evropy.	2
Na jaké dvě hlavní strany se dá rozdělit účastníky třicetileté války?	Na katolický tábor (Habsburkové, katolická liga) a protestantský tábor (protestantská knížata, Švédsko, později podporované katolickou Francií z mocenských důvodů).	Na alianci roajalistů a alianci republikánů.	Na stranu Osmanské říše a protiosmanskou alianci evropských křesťanů.	2
Která událost v Praze je považována za bezprostřední začátek třicetileté války?	Pražská defenestrace roku 1618, kdy byli katoličtí místodržící svrženi z okna.	Upálení Jana Husa roku 1415.	Bartolomějská noc roku 1572.	1
Kde byli čeští stavové poraženi roku 1620 a co to znamenalo?	Na Bílé hoře u Prahy – znamenalo to konec stavovského povstání a začátek rekatolizace českých zemí.	U Moháče – znamenalo to dobytí Čech Osmany.	U Lipska – znamenalo to triumf husitů nad císařem.	1
Proč bitva na Bílé hoře (1620) nebyla ve své podstatě národnostním konfliktem?	Protože na obou stranách bojovali lidé různých národností – šlo o konflikt náboženský a politický (čeští protestanti vs. mezinárodní císařská armáda).	Protože v té době neexistovaly národy ani národnosti.	Protože bitva byla jen zinscenovaná a k boji nedošlo.	2
Kdo to byl žoldnéř?	Voják najatý za mzdu, který sloužil tomu, kdo ho zaplatil, bez ohledu na národnost či vyznání.	Fanatický náboženský bojovník bez nároku na plat.	Příslušník rytířského řádu složený z dobrovolníků.	1
Proč panovníci v 17. století spoléhali na žoldnéřská vojska namísto rytířských družin?	Žoldnéři byli profesionálové dostupní kdykoli za peníze, nebyli vázáni lenními povinnostmi a panovník je mohl naverbovat podle potřeby, na rozdíl od šlechty.	Žoldnéři bojovali zadarmo, takže to bylo levnější.	Rytíři odmítali používat střelné zbraně, proto se museli najmout žoldnéři.	3
Jakou výhodu poskytovala husitům a později i jiným armádám vozová hradba?	Mobilní opevnění – vozy sestavené do kruhu chránily vojáky před jezdectvem a umožňovaly palbu z krytu.	Rychlé přesuny – vojáci mohli bojovat přímo z jedoucích vozů a dobývat hrady.	Diplomatickou – znamení vozové hradby signalizovalo ochotu vyjednávat.	1
Jaká nová zbraň se výrazně uplatnila ve válkách 17. století?	Pěchotní ručnice (muškety) s bodákem a mobilní děla.	Křížové luky s jedovatými šípy.	Tanky poháněné parním strojem.	1
Jaký byl účinný dostřel mušket v období třicetileté války a co to znamenalo pro taktiku?	Pouze několik desítek metrů – proto se střílelo hromadně salvami a pěchota útočila v těsných formacích.	Více než kilometr – vojska se vůbec nedostávala do přímého kontaktu.	Mušketám často selhával střelný prach, takže se více bojovalo píkami.	3
Proč měly ve třicetileté válce zpočátku omezený význam děla?	Byla těžká a nepohyblivá, hodila se spíše k obléhání; v poli se využila hlavně na začátku bitvy psychologicky (hluk a dým) než pro způsobené ztráty.	Byla zakázána papežem, takže je nikdo nechtěl použít.	Neuměli je ještě vyrábět, takže se objevila až ke konci války.	3
