Question	Correct Answer	Option 1	Option 2	Difficulty
Jaký je obsah trojúhelníka se základnou 6 cm a výškou 4 cm?	12 cm²	24 cm²	10 cm²	2
Která organela řídí buněčné děje?	jádro	mitochondrie	ribozom	1
Jak se jmenuje hlavní postava v 'Krysař'u od V. Dyka?	krysař	Agnes	měšťan	2
Co je to HTML?	značkovací jazyk pro web	programovací jazyk	databázový systém	1
Která řeka protéká Prahou?	Vltava	Morava	Labe	1
Ve kterém literárním směru tvořil K. J. Erben?	romantismus	realismus	klasicismus	2
Jaký je rozdíl mezi 'whether' a 'if'?	whether' je formálnější, používá se s 'or not'	jsou úplně synonyma	if' se používá jen v otázkách	3
Jakou funkci má Ústavní soud?	kontrola ústavnosti zákonů	soudnictví v občanských sporech	kontrola vlády	2
Která událost zahájila třicetiletou válku?	Pražská defenestrace	Bitva na Bílé hoře	Vestfálský mír	2
Co vzniká při hoření uhlíku na vzduchu?	oxid uhličitý	oxid uhelnatý	uhlík	1
Jaký je rozdíl mezi pointilismem a symbolismem?	pointilismus je výtvarný směr, symbolismus literární	oba jsou literární směry	pointilismus je starší	3
V kterém roce vznikla Československá republika?	1918	1920	1914	1
Jaký je Coriolisův efekt?	odchylka proudění vlivem rotace Země	změna gravitace	magnetická deklinace	3
Kdo napsal 'Babičku'?	Božena Němcová	Karolína Světlá	Ema Destinová	1
Kolik je 15 + 27?	42	41	43	1
Co je 'cleft sentence'?	rozštěpená věta pro zdůraznění	složená věta	vedlejší věta	3
Jaká jsou hlavní kritéria pro členství v EU?	kodaňská kritéria	maastrichtská kritéria	amsterdamská kritéria	2
Kdo byl hlavním architektem osvícenského absolutismu v Rakousku?	Josef II.	Marie Terezie	Leopold II.	2
Kolik stran má trojúhelník?	3	4	5	1
Kdo je hlava státu v ČR?	prezident	předseda vlády	předseda sněmovny	1
Kolik řešení má rovnica x² - 4x + 4 = 0?	1 (dvojnásobný kořen)	2 různé kořeny	žádné reálné řešení	3
Jaká je funkce telomer?	ochrana konců chromozomů	spojování chromozomů	regulace genové exprese	3
V které fázi meiózy dochází k crossing-over?	profáze I	metafáze I	anafáze I	2
Kolik elektronů má chloridový anion Cl⁻?	18	17	16	2
Jaké je hlavní město Francie?	Paříž	Lyon	Marseille	1
Co je to steam of consciousness?	proud vědomí - literární technika	druh rýmu	básnická forma	3
Kolik bitů má 1 byte?	8	16	4	1
Kde probíhá fotosyntéza u rostlin?	v chloroplastech	v mitochondriích	v jádře	1
Které funkční skupinu obsahují alkoholy?	hydroxylovou (-OH)	karboxylovou (-COOH)	aminovou (-NH₂)	2
Co je to Big O notace?	asymptotická složitost algoritmů	druh programovacího jazyka	typ databáze	3
Jaká je nejnižší teplota naměřená na Zemi?	-89,2°C (Antarktida)	-78,5°C	-95,1°C	3
Ve kterém pásmu leží rovník?	tropický pás	mírný pás	polární pás	2
Jaká je přípona textového souboru?	.txt	.exe	.jpg	1
Jaká síla způsobuje pád předmětů na Zemi?	Gravitační síla	Magnetická síla	Elektrická síla	1
Co je to izostáze?	vertikální pohyby zemské kůry	horizontální pohyby kůry	magnetické pole Země	3
Ve kterém století žil Karel IV.?	14. století	13. století	15. století	1
Co je Stefanův-Boltzmannův zákon?	j = σT⁴	j = σT²	j = σT³	3
Které je nejvyšší pohoří světa?	Himaláje	Andy	Alpy	1
Jaký je vzorec kyseliny sírové?	H₂SO₄	HCl	H₂SO₃	2
Co je frekvence elektromagnetického záření s vlnovou délkou 500 nm?	6 × 10¹⁴ Hz	3 × 10¹⁴ Hz	1,5 × 10¹⁴ Hz	2
Jaký plyn se vyvíjí při reakci kovu se kyselinou?	vodík	kyslík	oxid uhličitý	2
Jaká je hodnota sin(30°)?	1/2	√3/2	√2/2	2
Co je druhá mocnina čísla 5?	25	10	15	1
Jak se řekne 'kniha' anglicky?	book	brook	cook	1
Ve kterém století působil William Shakespeare?	16.-17. století	15.-16. století	17.-18. století	2
Co je rým?	stejně znějící konce veršů	počet slabik ve verši	rytmus básně	1
Co je to soft law v mezinárodním právu?	nezávazné právní normy	měkké tresty	mezinárodní smlouvy	3
Jaký je produkt glykolýzy?	pyruvát	glukóza	laktát	2
Jaká je perioda kyvadla délky 1 m? (g ≈ 10 m/s²)	2π√(l/g) ≈ 2 s	1 s	4 s	2
Od kolika let lze volit do poslanecké sněmovny?	18 let	21 let	16 let	1
Který průliv odděluje Evropu od Afriky?	Gibraltarský průliv	Bosporský průliv	Dardanelský průliv	2
Jaký byl oficiální název říše Karla Velikého po korunovaci?	Sacrum Romanum Imperium	Imperium Francorum	Regnum Franciae	3
Co je to polymorfismus v OOP?	schopnost objektů různých tříd reagovat na stejné zprávy	dědičnost tříd	zapouzdření dat	3
Kolik oceánů je na Zemi?	5	4	6	1
Ve kterém roce skončila první světová válka?	1918	1917	1919	1
Co je to algoritmus?	postup řešení problému	programovací jazyk	typ procesoru	2
Jaký je poměr fenotypů při monohybridním křížení F2?	3:1	1:1	9:3:3:1	2
Co je to subsidiárnost v EU?	rozhodování na nejnižší možné úrovni	finanční pomoc	hospodářská politika	2
Co je to IP adresa?	jedinečný identifikátor v síti	typ procesoru	druh kabelu	2
Na kterém kontinentě leží Egypt?	Afrika	Asie	Evropa	1
Kolik aminokyselin je proteinogenních?	20	16	24	2
Jaká je Eulerova formule?	e^(iπ) + 1 = 0	E = mc²	F = ma	3
Co je to enantiomérie?	stereoisomérie s chirálními centry	konformační isomerie	polohová isomerie	3
Který autor napsal 'Válku s mloky'?	Karel Čapek	Josef Čapek	Karel Poláček	1
Kdo objevil Ameriku?	Kryštof Kolumbus	Vasco da Gama	Marco Polo	1
Kolik komorového srdce mají ryby?	2	3	4	1
Jaký je rozdíl mezi 'borrow' a 'lend'?	borrow' je půjčit si, 'lend' je půjčit	borrow' je formálnější	jsou synonyma	2
Co je princip proporcionality v EU?	přiměřenost opatření vůči cíli	rovnoměrné zastoupení	finanční poměry	3
Jaká je jednotka energie?	Joule (J)	Newton (N)	Watt (W)	1
Co byla Pragmatická sankce Karla VI.?	nástupnický zákon o dědičnosti žen	zrušení leibeigenství	náboženská tolerance	3
Jak se tvoří minulý čas u slovesa 'eat'?	ate	eated	eaten	1
Jaký je rozdíl mezi impeachmentem a odvoláním?	impeachment je obžaloba, odvolání je sesazení	je to stejné	impeachment je americký termín	2
Co je to transkripcí faktor?	protein regulující genovou expresi	enzym štěpící DNA	transportní protein	3
Kolik je log₂(8)?	3	2	4	2
Kolik párů žeber má člověk?	12	10	14	1
Jaká je derivace funkce f(x) = 3x³?	f'(x) = 9x²	f'(x) = 3x²	f'(x) = x³	2
Jaká je limita (sin x)/x když x→0?	1	0	∞	3
Při jaké teplotě vře voda?	100°C	0°C	50°C	1
Která předložka se používá s 'morning'?	in	on	at	1
Jaký je plural od 'mouse'?	mice	mouses	mouse	1
Kolik procent je 1/4?	25%	20%	30%	1
Jaká je jednotka magnetické indukce?	Tesla (T)	Weber (Wb)	Henry (H)	2
Co je 'passive voice'?	trpný rod	minulý čas	podmínkové způsob	3
Kolik má spektrum základních barev?	7	3	5	1
Jaký je princip blockchain technologie?	decentralizovaná databáze s hash vazbami	centrální databáze	šifrování souborů	3
Co je to plebiscit?	hlasování o důležité otázce	typ voleb	demonstrace	2
Kde se nacházejí Andy?	západní Jižní Amerika	východní Jižní Amerika	Severní Amerika	2
Co znamená GPU?	Graphics Processing Unit	General Processing Unit	Game Processing Unit	1
Co je to naturalismus v literatuře?	extrémní realismus s vědeckým přístupem	návrat k přírodě	mystická literatura	3
Jaká je molární hmotnost oxidu uhličitého CO₂?	44 g/mol	28 g/mol	32 g/mol	2
Jaký je princip PCR (polymerázová řetězová reakce)?	amplifikace DNA sekvencí	sekvencování DNA	štěpení DNA	3
Co znamená 'small'?	malý	velký	rychlý	1
Jaký literární druh představuje balada?	lyricko-epika	čistá lyrika	drama	2
Co je to JavaScript?	skriptovací jazyk pro web	databázový jazyk	operační systém	2
Jaký je hlavní organ EU pro přijímání zákonů?	Evropský parlament	Evropská komise	Rada EU	1
Jaká je elektronová konfigurace atomu chromu (Cr, Z=24)?	[Ar] 3d⁵ 4s¹	[Ar] 3d⁴ 4s²	[Ar] 3d⁶	3
Který orgán filtruje krev u člověka?	ledviny	játra	slezina	1
Jaká je chemická značka pro vodík?	H	He	Hy	1
Co je odmocnina ze 16?	4	8	2	1
Co je jednotka elektrického proudu?	Ampér (A)	Volt (V)	Ohm (Ω)	1
Kolik protonů má atom helia?	2	4	1	1
Jaký je vztah mezi výkonem, napětím a proudem?	P = U × I	P = U / I	P = U + I	2
Co říká 1. termodynamický zákon?	zákon zachování energie	entropie roste	absolutní nula	2
Co jsou 'question tags'?	krátké otázky na konci věty	přímé otázky	nepřímé otázky	2
Která bitva ukončila napoleonskou nadvládu v Evropě?	Bitva u Waterloo	Bitva u Borodina	Bitva u Jeny	2
Jaká je složitost quick sort algoritmu v průměru?	O(n log n)	O(n²)	O(n)	2
Jaký je počet obyvatel České republiky?	10,7 mil.	8,5 mil.	12,3 mil.	2
Co je federace?	svaz států s vlastní ústředí mocí	jednotný stát	mezinárodní organizace	1
Jaký je rozdíl mezi SSD a HDD?	SSD nemá pohyblivé části, HDD má	SSD je menší	HDD je rychlejší	2
Kdo napsal 'Dona Juana'?	Lord Byron	Shakespeare	Goethe	2
Jaká je chemická značka pro železo?	Fe	Ir	Fr	1
Jaký je rozdíl mezi unitárním a federálním státem?	unitární má jednotné řízení, federální rozdělené	unitární je větší	federální je demokratičtější	3
Jaká je nejdelší řeka světa?	Nil	Amazon	Mississippi	2
Kdo je autorem 'Bílé nemoci'?	Karel Čapek	Jaroslav Hašek	Alois Jirásek	1
Co je Schwarzschild poloměr?	poloměr černé díry	poloměr neutronové hvězdy	poloměr atomu	3
Kolik je faktoriál 5! ?	120	100	25	2
Jak se používá 'be used to'?	pro vyjádření zvyku v přítomnosti	pro minulé zvyky	pro budoucnost	2
Co je Past Perfect?	had + past participle	was/were + -ing	have/has + past participle	2
Co je Avogadrova konstanta?	6,022 × 10²³ mol⁻¹	1,602 × 10⁻¹⁹ C	8,314 J/(mol·K)	3
Co je to firewall?	ochranný systém sítě	antivirový program	webový prohlížeč	1
Kdo byl zakladatelem Velkomoravské říše?	Mojmír I.	Rostislav	Svatopluk	2
Co popisuje Schrödinger rovnice?	kvantové stavy částic	klasickou mechaniku	elektromagnetické pole	3
Jaký je rozdíl mezi 'much' a 'many'?	much' pro nepočitatelné, 'many' pro počitatelné	much' je více než 'many'	jsou synonyma	2
Jaký byl hlavní důvod Velké schizmatu?	spor o papežský primát	spor o investituru	reformační hnutí	3
Který hormon produkuje štítná žláza?	tyroxin	kortizol	růstový hormon	2
Jak se nazývá horní komora parlamentu ČR?	Senát	Poslanecká sněmovna	Národní shromáždění	1
Který literární druh zahrnuje divadelní hry?	drama	epika	lyrika	1
Kdo byl druhý prezident Československa?	Edvard Beneš	Tomáš Masaryk	Václav Havel	1
Který císař rozdělil Římskou říši na východní a západní?	Theodosius I.	Konstantín I.	Diocletianus	2
Jakou barvu má univerzální indikátor v neutrálním prostředí?	zelená	červená	modrá	1
Jaká je hodnota cos(60°)?	1/2	√3/2	√2/2	2
Kde se nachází DNA v buňce?	v jádře	v cytoplazmě	v ribozomech	1
Jak se jmenuje hlavní postava v 'Kytici' od K.J. Erbena?	různé postavy v jednotlivých baladách	Marie	Anna	2
Co je to CSS?	jazyk pro stylování webových stránek	programovací jazyk	databázový systém	1
Která řeka protéká Vídní?	Dunaj	Rýn	Labe	1
Ve kterém literárním směru tvořil Jan Neruda?	realismus	romantismus	symbolismus	2
Jaký je rozdíl mezi 'although' a 'though'?	though' je neformálnější, může být na konci	jsou úplně synonyma	although' je silnější	3
Jakou funkci má ombudsman?	ochránce práv občanů	kontrola vlády	soudnictví	2
Ve kterém roce byl zavražděn arcivévoda František Ferdinand?	1914	1913	1915	2
Co vzniká při reakci kyseliny se zásadou?	sůl a voda	plyn	kov	1
Jaký je rozdíl mezi alexandrínem a jambem?	alexandrín je dvanáctislabičný verš, jamb je stopa	alexandrín je francouzský, jamb anglický	alexandrín je rým, jamb je rytmus	3
V kterém roce padla Berlínská zeď?	1989	1990	1987	1
Jaký je monsun?	sezónní změna směru větru	tropická bouře	vysoká vlna	3
Kdo napsal 'Máj'?	Karel Hynek Mácha	Jan Neruda	Jaroslav Vrchlický	1
Kolik je 12 × 8?	96	88	104	1
Co je 'ellipsis' ve větě?	vynechání slov pro stručnost	dlouhá souvětí	přímá řeč	3
Jaká jsou konvergenční kritéria pro euro?	inflace, deficit, dluh, úroky	pouze inflace	pouze dluh	2
Ve kterém roce vzniklo Rakousko-Uhersko?	1867	1848	1871	2
Jaká je třetí mocnina čísla 4?	64	16	12	1
Kdo jmenuje vládu v ČR?	prezident	parlament	lid ve volbách	1
Co je determinant matice [[2,1],[3,4]]?	5	11	7	3
Co je to apoptóza?	programovaná buněčná smrt	buněčné dělení	buněčná diferenciace	3
V které fázi mitózy se chromozomy rozdělují?	anafáze	profáze	metafáze	2
Kolik elektronů má hořečnatý kation Mg²⁺?	10	12	14	2
Jaké je hlavní město Německa?	Berlín	Mnichov	Hamburg	1
Co je to intertextualita?	odkaz na jiný literární text	překlad textu	ilustrace k textu	3
Kolik bajtů má 1 kilobyte?	1024	1000	512	1
Které organela produkuje energii v buňce?	mitochondrie	ribozom	chloroplast	1
Kterou funkční skupinu obsahují ketony?	karbonylovou (C=O)	hydroxylovou (-OH)	aminovou (-NH₂)	2
Co je to time complexity?	časová složitost algoritmu	doba běhu programu	velikost paměti	3
Jaká je nejvyšší naměřená teplota na Zemi?	54,4°C (Death Valley)	58,2°C	51,3°C	3
Ve kterém pásmu leží obratníky?	subtropický pás	tropický pás	mírný pás	2
Jaká je přípona obrázku ve formátu JPEG?	.jpg	.png	.gif	1
Jaké je zrychlení volného pádu na Zemi?	9,8 m/s²	10 m/s²	8,9 m/s²	1
Co je to konvergence litosférických desek?	srážení a podsouvání desek	oddálování desek	posouvání podél zlomů	3
Ve kterém století probíhala renesance?	15.-16. století	13.-14. století	17.-18. století	1
Jaká je Planckova konstanta?	6,626 × 10⁻³⁴ J·s	1,381 × 10⁻²³ J/K	9,109 × 10⁻³¹ kg	3
Ve které zemi se nachází Machu Picchu?	Peru	Bolívie	Ekvádor	1
Jaký je vzorec kyseliny dusičné?	HNO₃	HNO₂	H₂SO₄	2
Co je frekvence vlny s periodou 0,02 s?	50 Hz	20 Hz	100 Hz	2
Který plyn se vyvíjí při elektrolýze vody na anodě?	kyslík	vodík	chlor	2
Jaký je obsah kruhu s poloměrem 3 cm? (π ≈ 3,14)	28,26 cm²	18,84 cm²	9,42 cm²	2
Kolik stupňů má celý úhel?	360°	180°	270°	1
Jak se řekne 'stůl' anglicky?	table	chair	desk	1
Ve kterém století působil Johann Wolfgang Goethe?	18.-19. století	17.-18. století	16.-17. století	2
Co je báseň?	rytmický literární útvar	prozaický text	dramatický text	1
Co je erga omnes účinek v právu?	účinek vůči všem	účinek vůči stranám smlouvy	zpětný účinek	3
Který proces využívá kyslík k získání energie?	aerobní respirace	fermentace	fotosyntéza	2
Jaká je rychlost zvuku ve vzduchu?	340 m/s	300 m/s	400 m/s	2
Od kolika let lze kandidovat na prezidenta ČR?	40 let	35 let	45 let	1
Který průliv odděluje Asii od Ameriky?	Beringův průliv	Drakeův průliv	Magellanův průliv	2
Který míroví smlouva ukončila sedmiletou válku?	Pařížský mír 1763	Vestfálský mír	Basilejský mír	3
Co je to návrhový vzor Singleton?	třída s pouze jednou instancí	dědičnost tříd	datová struktura	3
Který je největší oceán světa?	Tichý oceán	Atlantský oceán	Indický oceán	1
Ve kterém roce začala druhá světová válka?	1939	1938	1940	1
Co je to rekurze v programování?	funkce, která volá sama sebe	opakování cyklu	dědičnost tříd	2
Jaký je poměr genotypů při monohybridním křížení F2?	1:02:01	3:1	1:1	2
Co je to solidarita v EU?	vzájemná pomoc mezi členy	hospodářská politika	vojenská spolupráce	2
Co je to URL adresa?	jednotný lokátor zdrojů	typ sítě	druh programu	2
Na kterém kontinentě leží Brazílie?	Jižní Amerika	Severní Amerika	Afrika	1
