
Question	Correct Answer	Option 1	Option 2	Difficulty
Co to byl městský stát v Mezopotámii?	Malé nezávislé území tvořené jedním městem a jeho okolím	Hlavní město velké říše	sjednocený stát zahrnující všechna města celé Mezopotámie	1
K čemu sloužil zikkurat v mezopotámském městě?	Byl to stupňovitý chrám sloužící náboženským a správním účelům městského státu	Šlo o obrannou věž městských hradeb	Byl to podzemní hrobkový komplex panovníka	2
Co znamená pojem teokracie (teokratická vláda)?	Vláda, v níž je panovník považován za boha nebo bohem pověřeného vládnout	Vláda technicky vzdělaných odborníků	Státní zřízení založené na uctívání předků panovníka	1
Co znamená antropomorfní polyteismus?	Víru v mnoha bohů, kteří mají lidskou podobu a vlastnosti	Náboženství uctívající jediného boha ve zvířecí podobě	Přesvědčení, že vládce je převtělením boha na zemi	2
Jak se změnilo náboženství mezopotámských městských států při sjednocení do říše?	Bohové nejsilnějších městských států se stali hlavními bohy celé říše	Každé dobyté město muselo zavrhnout své původní bohy a přijmout bohy dobyvatelů	Při vzniku říše byl zaveden zcela nový jednotný panteon a původní bohové byli zapomenuti	3
Jaký je rozdíl mezi starověkými ideogramy a hláskovým písmem (klínovým písmem)?	Ideogramy umožňovaly číst stejný text v různých jazycích (znaky označovaly věci nebo myšlenky), zatímco klínové písmo zaznamenávalo přímo hlásky	Není žádný – klínové písmo je druh ideogramů	Ideogramy měly jen několik znaků, zatímco klínové písmo tisíce	2
Jakou výhodu mělo klínové písmo oproti staršímu ideogramatickému písmu?	Bylo jednodušší se ho naučit a umožňovalo přesnější a úplnější zápis jazyka	Bylo zdobnější a estetičtější, což zvyšovalo prestiž říše	Umožňovalo psát dopisy a literaturu, zatímco ideogramy ne	1
Na co a čím psali lidé v Mezopotámii?	Špičatým rákosovým pisátkem do hliněných destiček	Inkoustem a brkem na pergamen	Štětcem na papyrusové svitky	1
Co byl pečetní váleček a k čemu sloužil v Mezopotámii?	Drobný váleček s vyrytým obrazcem, který se otiskoval do hlíny k zapečetění dokumentů nebo označení majetku	Nástroj na uhlazování hliněných cihel při stavbě zikkuratu	Váleček se znakem boha, kterým král potvrzoval své dekrety	2
Jak dlouho přibližně trvala starověká Egyptská říše?	Přibližně tři tisíce let	Jen několik staletí	Až do středověku (nepřetržitě)	1
Co platí pro politické dějiny starověkého Egypta?	Střídala se období jednotného silného státu s obdobími cizí nadvlády či rozpadu ústřední moci	Egyptskému státu vždy nepřetržitě vládla jedna domácí dynastie	Egypt nikdy nebyl dobyt cizí mocností až do novověku	2
Co znamená slovo dynastie v souvislosti s dějinami Egypta?	Panovnický rod; v Egyptě se vystřídalo několik dynastií, včetně takových, které nepocházely z Egypta	Pouze období chaosu mezi vládami	Obřad korunovace faraona novým bohem	1
Kdo prvně sjednotil Horní a Dolní Egypt kolem roku 3000 př.n.l.?	Faraon Narmer	Faraon Tutanchamon	Alexandr Veliký	1
Kdo byli Hyksósové v dějinách Egypta?	cizí (semitský) národ, který dobyl a ovládal Egypt v období Druhého přechodného období	vládnoucí dynastie z Horního Egypta	vymřelá větev původních Egypťanů ze Staré říše	2
Který stát nebo národ ve starověku dobyl a ovládal Egypt?	Římská říše	Čínská říše	Aztécká říše	1
Co byly Horní a Dolní Egypt před sjednocením?	Dvě samostatná království – Horní Egypt na jihu a Dolní Egypt na severu (v Nilské deltě)	Dvě oblasti Egypta ovládané Núbijci a Libyjci před příchodem faraonů	Dvě provincie Perské říše na území Egypta	2
Co symbolizovala dvojitá koruna egyptských faraonů?	Sjednocení Horního a Dolního Egypta pod jednou vládou	Božský původ faraona	Moc faraona nad životem a smrtí poddaných	2
V jakém období se v Egyptě stavěly největší kamenné pyramidy?	V období Staré říše	Za vlády Alexandra Velikého	V období Nové říše	1
Jak se jmenuje největší egyptská pyramida?	Chufuova (Cheopsova) pyramida v Gíze	Rachefova (Chefrénova) pyramida v Gíze	Džoserova stupňovitá pyramida v Sakkáře	1
Co se nacházelo kolem velkých egyptských pyramid a k čemu to sloužilo?	Komplex chrámů a dalších staveb pro posmrtný kult a uctívání pohřbeného faraona	Řady soch sfing chránících pyramidy před zloději	Obytná města dělníků, kteří pyramidy stavěli, k trvalému obývání	2
Ve kterém období začali egyptští faraoni místo pyramid budovat podzemní hrobky?	V období Nové říše	V období Staré říše	Egyptští faraoni nepřestali stavět pyramidy až do konce starověku	2
Proč Egypťané přestali stavět pyramidy a přešli k podzemním hrobkám?	Protože pyramidy byly velmi nákladné a nedokázaly zabránit vykrádání hrobek	Protože v Egyptě došel kámen vhodný na stavbu pyramid	Protože noví faraoni už nevěřili v posmrtný život	1
Kde se nachází nejvíce podzemních hrobek faraonů v Egyptě?	V Údolí králů (u Théb)	Na pyramidovém poli v Gíze	Pod Velkou sfingou v Gíze (v tajných katakombách)	1
Čí hrobka byla objevena jako proslulý nevykradený nález v Údolí králů?	Hrobka faraona Tutanchamona	Hrobka faraona Ramesse II.	Hrobka faraona Cheopse	1
Proč bylo objevení Tutanchamonovy hrobky tak významné?	Byla nevykradená a obsahovala ohromné bohatství, což poskytlo unikátní poznatky o egyptské kultuře	Protože to byla první pyramidová hrobka objevená v Údolí králů	Protože obsahovala mumii úplně prvního egyptského faraona	2
Jakou roli hrál ve starověkém Egyptě každoroční Nilský záplavový cyklus?	Záplavy přinášely úrodné bahno a umožňovaly vysoké zemědělské výnosy – byly základem hospodářství	Každoroční záplavy ničily úrodu a byly pohromou, jíž se Egypťané snažili zabránit	Neměly velký význam, Egypťané měli zavlažování nezávislé na Nilu	1
Proč byly příliš malé nebo naopak extrémně velké nilské záplavy pro Egypt katastrofou?	Malé záplavy znamenaly hladomor (málo úrody) a příliš velké způsobovaly zkázu polí a osídlení	Nebezpečné nebyly – Egypťané se díky svým technologiím uměli vyrovnat s jakýmkoli stavem Nilu	Nadměrné záplavy Egypťané vítali, protože jim umožnily rozšířit plodiny do pouště	2
Jak Egypťané efektivně využívali vody z nilských záplav?	Vybudovali síť zavlažovacích kanálů, nádrží a používali čerpací zařízení, aby rozvedli vodu na pole	Nechávali vodu volně rozlít po krajině bez zásahů	Většinu záplavové vody odklonili do umělých jezer, protože na polích překážela	1
Proč musel zemědělství a zavlažování v Egyptě organizovat stát?	Protože rozsah zavlažovacích prací vyžadoval centrální koordinaci a velké množství pracovní síly	Egypťané nerozuměli farmaření a potřebovali státní dohled	Nemusel – rolníci a vesnice si vše zvládly řídit samy	1
Co vedlo egyptský stát k nutnosti vybírat daně?	Potřeba financovat rozsáhlé zemědělské projekty a správu zavlažování (stát zajišťoval organizaci a potřeboval prostředky)	Snaha potrestat neposlušné poddané zavedením daňové povinnosti	Zavedení peněz jako jediné oficiální měny v Egyptě	2
Jak probíhal obchod ve většině starověkého Egypta, když se dlouho nepoužívaly mince?	Formou naturální směny – platilo se zbožím, zejména obilím; peníze se téměř nepoužívaly	Pomocí zlatých a stříbrných mincí s faraonovou pečetí	Vůbec neobchodovali – faraon zakazoval soukromý obchod	1
Co je papyrus a k čemu sloužil ve starověkém Egyptě?	Druh rákosu, z něhož se vyráběl „papír“ pro psaní (papírové svitky)	Druh posvátného brouka symbolizujícího nesmrtelnost duše	Místní název pro zavlažovací kanál	1
Za koho byl považován panovník (faraon) ve starověkém Egyptě?	Za vtěleného boha nebo syna boha na zemi	Za pouhého spravovatele země voleného lidem	Za člověka, který vládne pouze díky vojenské síle	1
Jak se nazývá forma vlády, kdy je vládce uctíván jako bůh nebo boží pověřenec na zemi?	Teokracie (resp. teokratická monarchie)	Aristokracie	Demokracie	1
Proč v egyptských panovnických rodech často docházelo ke sňatkům mezi příbuznými?	Aby si udrželi „čistotu“ božského původu dynastie	Vzhledem k malému počtu urozených rodin neměli jinou možnost	Egypťané nepovažovali incest za tabu a neřešili příbuzenské vztahy	2
Jak se nazývá víra v mnoho bohů?	Polyteismus	Monoteismus	Ateismus	1
Co platí o staroegyptském náboženství?	Nebylo jednotné – skládalo se z mnoha lokálních kultů uctívajících různé bohy	Bylo přísně jednotné a všude v Egyptě se uctívali titíž bohové	Bylo monoteistické, Egypťané uznávali jen jednoho boha slunce	1
Jak Egypťané chápali vztah těla a duše (Ka)?	Věřili, že tvoří nedělitelný celek – zničení těla znamená zánik duše	Mysleli si, že duše žije zcela nezávisle na těle	Věřili, že každý člověk má sedm různých duší	1
Jakou roli hrála socha boha v egyptském náboženství?	Byla považována za tělo boha, v němž božstvo přebývá na zemi	Byla jen dekorací chrámu bez náboženského významu	Obsahovala duši zemřelého faraona, která tak mohla mluvit s bohy	1
Čemu sloužily egyptské chrámy?	Jako „domovy“ pro sochy bohů (jejich těla), o které kněží pečovali jako o živé bytosti	Jako hrobky faraonů a jejich rodin	Pouze ke školení písařů a úředníků v administrativě	1
Proč Egypťané balzamovali těla zemřelých (prováděli mumifikaci)?	Věřili, že zachované tělo je nutné pro posmrtný život duše	Z estetických důvodů při pohřebních obřadech	Aby mohli tělo kdykoli oživit kouzly	1
Co byly tzv. Knihy mrtvých ukládané do egyptských hrobek?	Papyrové svitky s návody a zaklínadly, které měly zesnulému pomoci úspěšně projít posmrtným soudem	Sbírky zákonů upravujících chování zemřelých v záhrobí	Literární díla popisující život zesnulého, něco jako životopis	1
Platila v egyptském náboženství stejná morálka pro posmrtný život jako dnes?	Ne, Egypťané měli pro vstup do posmrtného života jiná pravidla než dnešní společnost	Ano, hodnoty dobra a zla byly univerzální a nadčasové	Ne, Egypťané nevěřili, že morálka ovlivní posmrtný život	1
Odkud původně pocházeli starověcí Řekové (Helénové)?	Jejich předkové přišli do Řecka z jiných oblastí; Řekové nejsou původní obyvatelé pevninského Řecka	Z oblasti dnešního Řecka – byli autochtonní, vždy žili jen tam	Z severní Afriky jako jeden z egyptských kmenů	1
Probíhalo osídlení Řecka Řeky jednorázově, nebo ve více vlnách?	Ve více vlnách postupných migrací různých řeckých kmenů	V jedné velké vlně – všichni Helénové přišli najednou	Řecko bylo pusté do příchodu Řeků kolem roku 800 př.n.l.	1
Kdo byl významným protivníkem starověkých Řeků, kterého nakonec porazili v sérii válek?	Perská říše (Řekové ji porazili v řecko-perských válkách)	Římská říše (Řekové ji porazili v punských válkách)	Egypt (Řekové ho porazili v Peloponéské válce)	1
Jak mohou geografické podmínky ovlivnit vývoj civilizace? (příklad Řecka)	Členité pobřeží, mnoho ostrovů a hornatý terén vedly k existenci mnoha malých městských států místo jednoho velkého impéria	Přírodní podmínky nemají významný vliv na fungování společnosti	Příznivé klima a roviny v Řecku umožnily vytvoření obrovské centralizované říše	2
Které dva městské státy byly nejvýznamnější v řecké civilizaci?	Athény a Sparta	Trója a Mykény	Babylon a Athény	1
Jak se nazývá vleklá občanská válka mezi Athénami a Spartou v 5. století př.n.l.?	Peloponéská válka	Punské války	Trojan war (Trójská válka)	1
Kdo vytvořil první sjednocenou říši zahrnující všechny řecké státy a dobyl území Persie?	Alexandr Veliký (Makedonský)	Filip II. Makedonský	Perikles	1
Proč se řecká civilizace považuje za základ evropské kultury?	Vytvořila první společnou evropskou civilizaci (antickou), na kterou navázaly pozdější evropské kultury	Neměla na ostatní Evropu žádný vliv – Řekové byli izolovaní	Jako první v Evropě přijala křesťanství, a proto je základem kultury	1
Co znamená pojem akropolis v kontextu starověkého Řecka?	Opevněné návrší s pevností a chrámy (horní město) v řeckém městě	Tržiště ve městě	Chrám zasvěcený bohyni Athéně (Parthenón na Akropoli)	1
Platilo, že všechny starověké řecké městské státy fungovaly a vypadaly stejně?	Ne, každý městský stát mohl mít odlišné zákony, zvyky i způsob života	Ano, mezi řeckými městy nebyly žádné rozdíly	Odlišovala se pouze Sparta, ostatní polis byly zcela totožné	1
Které oblasti života se mohly výrazně lišit mezi různými řeckými městskými státy?	Například pojetí manželství, rodiny, výchovy dětí či postavení žen	Žádné – všechny společenské zvyky byly všude stejné	Lišila se jen vojenská organizace, jinak byly polis stejné	2
Kdo měli postavení plnoprávných občanů v řeckém městském státě?	Jen svobodní muži, rodilí příslušníci obce – ženy, otroci a cizinci byli vyloučeni	Všichni stálí obyvatelé daného městského státu	všichni muži nad 18 let včetně otroků	1
Jakou část společnosti tvořilo zotročené obyvatelstvo (otroci) ve starověkých řeckých státech?	Velkou část – otroci neměli práva a byli majetkem svých pánů	Velmi malou část – většina obyvatel byly svobodní rolníci	Žádnou – Řekové otroctví neznali	1
Jaký hospodářský význam měli otroci v řeckých městských státech?	Tvořili hlavní pracovní sílu, na níž ekonomika státu stála	Neměli velký význam – otroci pracovali jen v domácnostech boháčů	V otroctví byli jen váleční zajatci šlechtického původu	1
Jaké povinnosti měli plnoprávní občané řeckého městského státu?	Např. vojenskou službu, účast na sněmu, placení příspěvků na veřejné výdaje (vedle výsad měli i povinnosti)	Žádné – měli jen privilegia a žádné povinnosti	Sloužit určitou dobu jako otroci v jiném městském státě	1
Co zavedly řecké městské státy pro výchovu a výcvik mládeže?	Systém povinné výuky a tělesné výchovy mládeže (školy)	Nic takového – výchova byla ponechána výhradně rodinám	Povinnou vojenskou službu od 10 let věku	1
Proč byla součástí řecké výchovy tělesná cvičení a hudební výchova?	Řekové věřili v harmonický rozvoj těla i ducha – tělesná cvičení pro sílu, hudba pro kázeň a kultivaci	Byla to jen tradice beze smyslu – převzali ji po Egypťanech	Sloužily pouze k zábavě na dvorech, ve výuce se neuplatňovaly	2
Jaké postavení měla žena ve starověkém Řecku (obecně)?	Obecně podřízené – ženy neměly politická práva a žily odděleně; výjimkou bylo větší uznání žen ve Spartě	Stejné jako muži – ženy měly plná občanská práva a účastnily se politiky	Dominantní – v mnoha městských státech vládly královny či kněžky místo mužů	2
Co byla agora v řeckém městském státě?	Tržiště a shromaždiště občanů (centrální náměstí)	Opevněná akropole (hrad) na vrcholu města	Chrám boha Dia v každém městě	1
Kdo byl Lykúrgos podle starověké tradice?	Legendární zákonodárce a zakladatel společenského systému Sparty	Athénský dramatik období klasické tragédie	Makedonský král, otec Alexandra Velikého	1
Proč měla válka ve starověké řecké společnosti významnou roli?	Byla považována za čestnou povinnost občanů a mohla přinášet bohatství i slávu vítězům	Řekové byli mimořádně agresivní a milovali válčení samo o sobě	Válka nehrála roli – Řekové byli převážně pacifisté	1
Jak ovlivňovalo roční období a počasí vedení války v řecké společnosti?	Války se vedly v určitých sezónách (mimo žně, v příhodném počasí); počasí a úroda měly vliv na možnost táhnout do boje	Nijak – bojovalo se stále bez ohledu na roční dobu a počasí	Zimy byly výhodné pro tažení, protože vojáci nepotřebovali jídlo z úrody	1
Jak souviselo občanství, vlastnictví půdy a účast na válce v řeckých státech?	Pouze občané vlastnící půdu byli hoplíty (těžkooděnci) a měli povinnost bránit stát	Občany byli jen řemeslníci ve městech – ti bojovali, rolníci ne	Majitelé půdy byli zproštěni vojenské služby, aby se mohli starat o pole	1
Co patřilo k typické výzbroji řeckého hoplíta?	Bronzová přilba, velký kruhový štít, kopí a krátký meč	Reflexní luk a kožená zbroj	Dlouhý dvouruční meč a kuše	1
Jak bojovali řečtí hoplíté ve falanze?	V těsné sevřené formaci štít na štít, společně postupovali proti nepříteli	Každý hoplít bojoval individuálně na vlastní pěst	Na koních v rozptýlených skupinách po bojišti	1
Musely být bitvy ve starověku nutně chaotické a bez pravidel?	Ne, často se řídily předem domluvenými pravidly a měly „rytualizovaný“ charakter	Ano, bitvy byly vždy zcela neorganizované střety plné chaosu	Ne, protože bitvy se předem inscenovaly jen „jako“ a nikdo ve skutečnosti nezahynul	1
Čím byl řecký způsob boje ve falanze účinný proti neřeckým armádám?	Pevnou disciplínou, tréninkem a těžkou výzbrojí vojáků bojujících sehraně pospolu	Obrovskou početní převahou Řeků v každé bitvě	Nasazením válečných slonů, které jiné národy neměly	1
V jakém období a kde existovala Perská říše?	V 6.–4. století př.n.l. na území dnešního Íránu a okolí	V 5.–1. století př.n.l. v západní Evropě	V 3. tisíciletí př.n.l. v Mezopotámii	1
Jak významné byly řecko-perské války pro starověké Řecko?	Byly jedním z největších a nejvýznamnějších konfliktů řecké civilizace	Byly to jen okrajové střety bez většího významu	Řekové je prohráli, takže se o nich v řecké historii příliš nemluví	1
Jak bitva u Marathonu souvisí s pojmem maratonský běh?	Podle legendy řecký posel běžel z Marathonu do Athén oznámit vítězství, což inspirovalo trať maratonského běhu	První maratonský běh v historii se běžel přímo během bitvy u Marathonu	Maratonský běh je posvátný obřad, kterým si Řekové připomínali padlé u Marathonu	1
Proč je bitva u Thermopyl (480 př.n.l.) tak slavná?	300 Sparťanů pod vedením krále Leonida hrdinsky bránilo průsmyk proti obrovské perské přesile	Řekové tam poprvé použili střelný prach proti nepříteli	Peršané tam zvítězili bez boje a podrobili si celou Spartu	1
Co kromě boje musela řešit armáda při dlouhém vojenském tažení?	Zásobování vojska potravinami a využití terénu pro přesun a táboření	Výrobu písemných kronik o průběhu bitvy, aby se na ni nezapomnělo	Stavbu kamenných silnic před postupem, aby se vojákům lépe pochodovalo	2
Rozuměli lidé ve středověku stejným morálním hodnotám jako my dnes?	Ne, každé historické období může vnímat morálku odlišně	Ano, morální hodnoty jsou univerzální a neměnné napříč dějinami	Ve středověku neexistovala žádná morálka ve společenském smyslu	1
Mohou mít historické osobnosti (např. Alexandr Veliký) z pohledu historie protikladné vlastnosti a různé hodnocení?	Ano, lidé v různých dobách a různého názoru mohou tutéž postavu vnímat zcela odlišně	Ne, každá historická osobnost má jednoznačný charakter daný prameny	Ne – vždy existuje jeden „správný“ pohled na charakter historické postavy	1
Jak spolehlivá je rekonstrukce povahy a vlastností historické osobnosti z dochovaných pramenů?	Pouze tak spolehlivá, jak spolehlivé jsou samotné prameny – je vždy do jisté míry nejistá	Většinou zcela spolehlivá – z pramenů lze bezpečně poznat charakter osoby	Zcela nespolehlivá – povahu historické postavy nelze nikdy zjistit	2
Která z těchto fází NEpatří mezi období starověkých římských dějin?	Archaická doba	Období královské	Období císařské	1
V kterých stoletích existovala Římská republika?	Přibližně v 5.–1. století př.n.l.	V 1.–3. století n.l.	Ve 3.–5. století n.l.	1
Co znamená pojem republika ve starořímském kontextu?	Státní zřízení bez krále – moc vykonávají volení úředníci a orgány jako senát	Vládu dědičného císaře s neomezenou mocí	Teokratický stát řízený kněžími	1
Co znamená, že událost nebo postava je „legendární“ (např. založení Říma Romulem a Remem)?	Není historicky doložená – známe ji jen z pozdější tradice a pověstí	Je natolik významná, že o ní existují desítky historických kronik	Je to totéž co smyšlená pohádka, s historií nemá nic společného	1
Na kterých kontinentech se rozkládala Římská říše v době svého největšího rozsahu?	V Evropě, severní Africe a západní Asii	Pouze v Evropě	Ve všech – Evropě, Asii, Africe i Americe	1
Kdo byli plebejci ve starověkém Římě?	Prostí svobodní občané (nepatřili k urozeným patricijským rodům)	Dědičná šlechta nejbohatších rodů	Otroci propuštění na svobodu	1
Co byly Zákony dvanácti desek v římských dějinách?	Nejstarší sepsaný zákoník římského práva (vytesaný do 12 tabulí)	Dvanáct hlavních bohů římského náboženství	Soupis dvanácti provincií Římské říše	1
V čem byla římská „demokracie“ omezena oproti té současné?	Účastnili se jí jen občané (muži) – většina populace (ženy, otroci, cizinci) byla vyloučena	zahrnovala všechny obyvatele impéria bez rozdílu, ale rozhodovala jen aristokracie	Římská demokracie nebyla nijak omezena – práva měli všichni lidé jako dnes	1
Měnilo se v průběhu římských dějin, kdo směl být římským občanem?	Ano, občanství bylo lákavé privilegium a postupně se rozšiřovalo – v různých dobách platily jiné podmínky	Ne, občanství měli vždy jen obyvatelé města Říma a nikdo jiný	Ne, občanství bylo původně pro všechny obyvatele říše a později je získávali jen aristokraté	1
Získali nakonec všichni svobodní obyvatelé Římské říše občanství?	Ano, ve 3. století n.l. obdrželi římské občanství všichni obyvatelé impéria	Ne, občanství měli trvale jen rodilí římští občané z Itálie	Ano, ale až v Byzantské říši – západořímská to nestihla	1
Byla římská společnost rovnostářská (všichni si rovni)?	Ne, byla rozdělená do tříd s různými právy a postavením	Ano, po založení republiky byly zrušeny všechny rozdíly mezi lidmi	Ano, ale jen v armádě – tam měli všichni vojáci stejný žold	1
Co probíhalo mezi společenskými vrstvami (třídami) v římské republice?	Stálý boj o podíl na moci a o práva (např. mezi patriciji a plebejci)	Naprosto harmonická spolupráce bez jakýchkoli konfliktů	Otevřené nepřátelství – stýkat se směly jen třídy podobného postavení	1
Měly vyšší třídy (např. senátoři) v Římě jen výhody, nebo i nějaké povinnosti?	Měly vedle výsad i povinnosti – např. musely platit vyšší daně či poskytovat státu vojáky	a jen privilegia bez dalších povinností	Měly jen výhody a neměly žádné zvláštní povinnosti	1
Co patří mezi tři příklady vyspělosti římské civilizace?	Vyspělé stavitelství (silnice, akvadukty), právo a správní systém, silná armáda	Významné malířství, sochařství a hudba – v tom byli Římané nejlepší	Silná ekonomika, průmyslová revoluce a objev elektřiny	1
Co je akvadukt a jaký měl význam v římském městě?	Mostový vodovod přivádějící čistou vodu zdaleka do města (do fontán), zásoboval obyvatele pitnou vodou	Podzemní kanál odvádějící odpadní vody z města	Obranný val chránící město před nepřáteli	1
Jaký význam měly římské lázně a veřejné záchody kromě hygieny?	Byly i společenským centrem – lidé se tam setkávali, diskutovali a navazovali vztahy	Neměly žádnou další funkci, sloužily čistě hygienickým účelům	Sloužily hlavně k náboženským rituálům očisty duše	1
