Question	Correct Answer	Option 1	Option 2	Difficulty
Jaká událost zahájila Třicetiletou válku?	Pražská defenestrace	Bitva na Bílé hoře	Rudolfův majestát	1
Který dokument Rudolfa II. zaručoval náboženskou svobodu?	Rudolfův majestát	Zlatá bula	Pragmatická sankce	2
Kdo vyhrál bitvu na Bílé hoře?	Katolická liga	České stavy	Švédové	1
Kdo byl Albrecht z Valdštejna?	Vojevůdce císaře Ferdinanda II.	Český král	Protestantský reformátor	1
Proč nechal Ferdinand II. Valdštejna zabít?	Obával se jeho moci a možné zrady	Valdštejn se stal protestantem	Valdštejn útočil na civilisty	2
Co byli žoldnéři?	Placení vojáci najímaní na určitou dobu	Stálá královská armáda	Rytíři s vlastními lény	1
Co byly markytánky?	Ženy doprovázející armádu a starající se o vojáky	Ženské vojačky	Šlechtičny na válečných radách	2
Kde měl Rudolf II. svou rezidenci?	Praha	Vídeň	Budín	1
Čím byl Rudolf II. známý kromě politiky?	Podporou umění a vědy	Vojenskými výboji	Náboženským fanatismem	2
Co je alchymie?	Předchůdce chemie, snaha přeměnit kovy ve zlato	Druh astronomie	Forma medicíny	2
Jakou přezdívku měl Ludvík XIV.?	Král Slunce	Železný král	Král válečník	1
Co je absolutismus?	Styl vlády s neomezenou mocí panovníka	Demokracie	Konstituční monarchie	1
Kde měl Ludvík XIV. svou rezidenci?	Versailles	Louvre	Fontainebleau	1
Jak dlouho vládl Ludvík XIV.?	72 let	50 let	60 let	2
Co byla Pragmatická sankce?	Dokument umožňující Marii Terezii nástup na trůn	Zákaz protestantství	Zrušení nevolnictví	2
Co je osvícenský absolutismus?	Absolutní moc využívaná pro dobro státu a lidu	Demokracie řízená vzdělaným lidem	Vláda církve a monarchie	2
Kdo zrušil nevolnictví v českých zemích?	Josef II.	Marie Terezie	Leopold I.	2
Co je katastr?	Soupis půdy pro výběr daní	Vojenský seznam	Církevní registr	2
Kolik dětí měla Marie Terezie?	16	12	20	2
Co je nevolnictví?	Systém kde jsou lidé vázáni k půdě a vrchnosti	Otrokářství	Feudalismus	1
Co je robota?	Nucená práce pro vrchnost zdarma	Placená práce	Vojenská služba	1
Proč se po Třicetileté válce rozšířilo nevolnictví?	Kvůli úbytku obyvatelstva a ochraně před útěkem	Kvůli rostoucím cenám	Kvůli válečným dluhům	2
Kdy proběhla první Anglická revoluce?	1640-1660	1620-1640	1660-1680	2
Kdo byl popraven během Anglické revoluce?	Karel I. Stuart	Jakub I.	Karel II.	1
Kdo vedl Anglii po popravě Karla I.?	Oliver Cromwell	Parliament	Karel II.	1
Co je konstituční monarchie?	Monarchie omezená ústavou a parlamentem	Absolutní monarchie	Republika	2
Jaký původní význam mělo slovo 'revoluce'?	Návrat k starým pořádkům	Vytvoření něčeho nového	Válečný převrat	3
Kdy proběhla Americká válka o nezávislost?	1775-1783	1765-1775	1780-1790	2
Kdo byl první prezident USA?	George Washington	Thomas Jefferson	Benjamin Franklin	1
Kdy byla podepsána Deklarace nezávislosti?	1776	1775	1777	1
Co jsou přirozená práva podle Deklarace nezávislosti?	Práva na život, svobodu a štěstí	Práva na majetek a vzdělání	Práva na práci a bydlení	2
Která země podporovala Ameriku ve válce proti Británii?	Francie	Španělsko	Prusko	1
Kdy začala Velká francouzská revoluce?	1789	1790	1788	1
Jaké je heslo Francouzské revoluce?	Svoboda, rovnost, bratrství	Víra, naděje, láska	Mír, spravedlnost, pokrok	1
Co bylo symbolem začátku Francouzské revoluce?	Dobytí Bastily	Poprava krále	Svolání Generálních stavů	1
Kdo byl Robespierre?	Vůdce jakobínů a období Teroru	Francouzský král	Generál napoleonské armády	2
Na kolik stavů byla rozdělena francouzská společnost před revolucí?	Tři (duchovenstvo, šlechta, třetí stav)	Dva (šlechta a lid)	Čtyři (král, šlechta, měšťané, rolníci)	1
Co byla Bastila?	Pevnost a vězení v Paříži	Královský palác	Katedrála	2
V kterém roce se Napoleon stal císařem?	1804	1800	1806	2
Která bitva je považována za Napoleonovo největší vítězství?	Slavkov (Austerlitz)	Jena	Wagram	2
V které bitvě Napoleon definitivně prohrál?	Waterloo	Lipsko	Moskva	1
Na který ostrov byl Napoleon poprvé vykázán?	Elba	Svatá Helena	Korsika	2
Co byla kontinentální blokáda?	Zákaz obchodu s Británií	Obléhání Londýna	Blokáda francouzských přístavů	2
Kolik vojáků se vrátilo z Napoleonova tažení do Ruska?	Asi 35 000 z 500 000	Asi 100 000 z 500 000	Asi 200 000 z 500 000	2
Jak se jmenovala první Napoleonova žena?	Josefína	Marie Luisa	Marie Antoinetta	2
Ve kterých stoletích probíhalo osvícenství?	17. a 18. století	16. a 17. století	18. a 19. století	1
Co je deismus?	Víra v Boha stvořitele bez zásahů do světa	Ateismus	Panteismus	3
Co byla encyklopedie v období osvícenství?	Snaha shromáždit veškeré lidské poznání	Slovník cizích slov	Biblická konkordance	2
Kdo byli svobodní zednáři?	Tajná společnost podporující toleranci a rozum	Stavební dělníci	Církevní řád	2
Jaký umělecký styl byl typický pro osvícenství?	Klasicismus	Baroko	Romantismus	2
Na čem se podle moderní vědy zakládá poznání?	Na přiznání neznalosti, pozorováních a experimentech	Na obejvování ztracených znalosti a starých tradicích	Na hromadění nových informací 	2
Co byla vědecká revoluce podle Harariho?	Revolucí neznalosti - objevení toho, že věci doopravdy nevíme	Plynulé nahromadění nových znalostí 	Radikální obejvy, které spustily sérii dalších obejvů 	3
Kdo vynalezl parní stroj?	James Watt (vylepšil)	Thomas Edison	Benjamin Franklin	2
Kdo založil Nobelovu cenu?	Alfred Nobel	Thomas Nobel	Fredrik Nobel	1
Co vynalezl Alfred Nobel?	Dynamit	Telegraf	Fotografii	1
Co je patent?	Právní ochrana vynálezu	Vynález samotný	Výrobní licence	2
Co je manufaktura?	Výrobna s dělbou práce ale ruční výrobou	Továrna s stroji	Domácí výroba	2
Co je cech?	Středověká organizace řemeslníků	Tovární dělníci	Zemědělští pracovníci	1
Co bylo charakteristické pro továrnu oproti manufaktuře?	Používání strojů	Větší počet pracovníků	Lepší mzdy	2
Co bylo Ludditské hnutí?	Hnutí dělníků ničících stroje	Hnutí za vyšší mzdy	Hnutí za kratší pracovní dobu	2
Co je urbanizace?	Růst měst a stěhování lidí do měst	Budování silnic	Rozvoj zemědělství	1
Které město bylo centrem průmyslové revoluce v Anglii?	Manchester	Birmingham	Liverpool	2
Kdo napsal 'Komunistický manifest'?	Karl Marx a Friedrich Engels	Lenin a Stalin	Proudhon a Bakunin	2
Co je beztřídní společnost?	Společnost bez sociálních tříd	Společnost vzdělaných lidí	Společnost bez vlády	2
Co znamená 'propaganda činem'?	Šíření myšlenek násilnými akcemi	Šíření letáků	Veřejné projevy	3
Co mají všechny socialistické směry společné?	Kritiku kapitalismu a snahu o rovnost	Podporu revoluce	Odmítnutí demokracie	2
Co je internacionála?	Mezinárodní organizace socialistů	Národní strana	Církevní organizace	2
Která renesanční města byla městskými republikami?	Benátky, Florencie, Janov	Řím, Milano, Neapol	Turín, Bologna, Padova	2
V čem se lišil renesanční přístup k nahote od středověkého?	Nahota byla chápána jako přirozená a krásná	Nahota byla stále tabu	Nahota byla pouze v náboženských dílech	2
Co byl Tridentský koncil?	Reakce katolické církve na reformaci	Protestantský koncil	Mírové jednání	2
Kdo byl Jan Amos Komenský?	Český pedagog a protestantský kněz	Katolický reformátor	Český král	1
Co byla Bartolomějská noc?	Masakr protestantů ve Francii	Svatba francouzského krále	Vánoční oslava	2
Který mír ukončil Třicetiletou válku?	Vestfálský mír	Augsburský mír	Pražský mír	2
Co znamenal princip 'cuius regio, eius religio'?	Panovník určuje náboženství v zemi	Náboženská svoboda pro všechny	Papežova autorita nad králi	3
Co je kapitalismus?	Ekonomický systém založený na soukromém vlastnictví	Systém státního vlastnictví	Feudální systém	2
Co jsou investice?	Vložení peněz za účelem zisku	Darovací příspěvky	Státní výdaje	1
Kdo byl František Štěpán Lotrinský?	Manžel Marie Terezie	Syn Marie Terezie	Otec Marie Terezie	2
Kolik procent toho, co vyrobil, poddaný odevzdával státu a vrchnosti?	Asi 70 procent	Asi 30 procent	Asi 50 procent	2
Kdo byl Voltaire?	Francouzský osvícenský filozof	Německý skladatel	Anglický vynálezce	2
Co charakterizovalo 'salóny' v období osvícenství?	Společenská setkání pro diskusi o vědě a umění	Obchodní schůzky	Náboženská shromáždění	2
Jaký byl hlavní důvod popularity pitevní ukázek v osvícenství?	Zájem o vědecké poznání anatomie	Zábava pro aristokracii	Lékařská příprava	2
Co byl Panoptikon?	Návrh vězeňské budovy pro převýchovu	Typ dalekohledu	Divadelní budova	3
V kolika letech začínaly děti pracovat v dolech podle pracovního listu?	V 6 letech	V 10 letech	V 14 letech	2
Jaké byly hlavní zdravotní problémy dělníků v továrnách?	Zranění z práce s stroji a špatné hygienické podmínky	Pouze únavnost	Nemoci z přejídání	2
Kdy Marie Terezie zemřela?	1780	1790	1770	3
Co bylo hlavní příčinou úmrtnosti ve vojskách během třicetileté války?	Nemoci a špatné hygienické podmínky	Boj v bitvách	Útěky z armády	2
Proč bylo těžké určit přesného vynálezce u mnoha vynálezů?	Vynálezy vznikaly postupným vývojem více lidí	Nebyla vedena dokumentace	Vynálezci se schovávali	2
