Question	Correct Answer	Option 1	Option 2	Difficulty
Jaký byl hlavní přínos železnice pro průmysl?	Rychlá doprava surovin a zboží	Snižování cen	Propojení trhů	1
Co vedlo k rozpadu Polska v 18. století?	Tři dělení mezi Rusko, Prusko a Rakousko	Vnitřní nestabilita	Napoleonské války	2
Který vynález umožnil efektivní těžbu uhlí?	Parní stroj	Vodní kolo	Větrný mlýn	2
Co bylo hlavním cílem Velké francouzské revoluce?	Svoboda, rovnost, bratrství	Obnova monarchie	Rozšíření území	1
Kdo byl autorem myšlenky "dělba moci"?	Montesquieu	Rousseau	Locke	1
Jaký byl hlavní důvod vzniku dělnických tříd?	Průmyslová revoluce a tovární systém	Rušení cechů	Migrace z venkova	1
Co vedlo k pádu Bastily?	Symbolické dobytí královské moci	Hladomor v Paříži	Vojenský převrat	3
Který panovník zrušil nevolnictví v Rakousku?	Josef II.	Marie Terezie	Leopold II.	1
Proč byl vynalezen dynamit?	Bezpečnější trhací práce	Vojenské účely	Stavba železnic	1
Co bylo hlavním cílem Ludditského hnutí?	Protest proti strojům a ztrátě práce	Vyšší mzdy	Kratší pracovní doba	1
Kdo vedl pruskou armádu v sedmileté válce?	Fridrich II.	Fridrich Vilém I.	Fridrich Vilém II.	1
Jaký byl hlavní přínos železnice pro společnost?	Zrychlení dopravy a propojení regionů	Snižování cen potravin	Růst měst	1
Co bylo příčinou americké války za nezávislost?	Daňové zákony a omezení samosprávy	Náboženské spory	Územní spory	1
Který dokument zaručoval rovnost před zákonem ve Francii?	Deklarace práv člověka a občana	Napoleonův zákoník	Edikt nantský	1
Proč byla zavedena metrická soustava?	Sjednocení měr a vah	Usnadnění obchodu	Vědecká přesnost	1
Co bylo hlavním cílem vídeňského kongresu pro Rakousko?	Posílení vlivu v Německu a Itálii	Potrestání Francie	Rozšíření území	2
Kdo byl autorem myšlenky "neviditelné ruky trhu"?	Adam Smith	David Ricardo	Thomas Malthus	1
Jaký byl hlavní důvod vzniku továrních měst?	Koncentrace průmyslu a pracovní síly	Levná půda	Dostupnost surovin	1
Co vedlo ke zrušení jezuitského řádu?	Tlak osvícenských panovníků	Reformace	Finanční problémy	3
Která bitva zajistila nezávislost USA?	Bitva u Yorktownu	Bitva u Saratogy	Bitva u Trentonu	1
Proč byl vynalezen knihtisk?	Masové šíření informací	Uchování náboženských textů	Státní propaganda	1
Co bylo hlavním cílem Tereziánských reforem ve školství?	Vzdělanější úředníci a vojáci	Vědecký pokrok	Náboženská výchova	2
Kdo byl vůdcem jakobínů během teroru?	Maximilien Robespierre	Georges Danton	Jean-Paul Marat	1
Jaký byl hlavní přínos parního stroje pro dopravu?	Parní lokomotiva a parník	Automobil	Letadlo	1
Co vedlo k pádu Napoleona?	Porážka u Waterloo a koalice evropských mocností	Ekonomická krize	Vnitřní spory	3
Který filozof ovlivnil Deklaraci nezávislosti?	John Locke	Thomas Hobbes	Jean-Jacques Rousseau	1
Proč byla zavedena tovární disciplína?	Zvýšení produktivity práce	Kontrola dělníků	Prevence nehod	1
Co bylo hlavním cílem osvícenských panovníků?	Reformy pro posílení státu	Oslabení církve	Podpora vědy	1
Kdo vedl tažení proti Napoleonovi v Rusku?	Mikhail Kutuzov	Alexander I.	Barclay de Tolly	1
Jaký byl hlavní důvod vzniku dělnických asociací?	Vzájemná podpora a obhajoba práv	Příprava revoluce	Kulturní aktivity	1
Co bylo příčinou francouzské finanční krize v 18. století?	Nákladné války a dvůr Ludvíka XVI.	Neúroda	Korupce	3
Který vynález umožnil lepší komunikaci na dálku?	Telegraf	Poštovní systém	Telefon	1
Proč byla zrušena robota v českých zemích?	Reformy Josefa II.	Tlak nevolníků	Průmyslová revoluce	1
Co bylo hlavním cílem Napoleona při korunovaci na císaře?	Legitimizace moci a vytvoření dynastie	Oslabení církve	Sjednocení Evropy	1
Kdo byl autorem myšlenky "všeobecné vůle"?	Jean-Jacques Rousseau	Voltaire	Montesquieu	3
Jaký byl hlavní přínos průmyslové revoluce pro zemědělství?	Mechanizace a vyšší výnosy	Více pracovních sil	Rozvoj trhů	1
Co vedlo k rozpadu Polska v 18. století?	Tři dělení mezi Rusko, Prusko a Rakousko	Vnitřní nestabilita	Napoleonské války	2
Který dokument ukončil třicetiletou válku?	Vestfálský mír	Augsburský mír	Pražský mír	1
Proč byla zavedena strojová výroba textilu?	Zvýšení produktivity a snížení nákladů	Lepší kvalita	Snížení závislosti na dovozu	1
Co bylo hlavním cílem Velké francouzské revoluce pro třetí stav?	Rovnost a odstranění privilegií	Náboženská svoboda	Ekonomická prosperita	1
Kdo byl autorem knihy "Bohatství národů"?	Adam Smith	David Ricardo	Karl Marx	1
Jaký byl hlavní důvod migrace z Irska do USA?	Hladomor a chudoba	Náboženská perzekuce	Průmyslová revoluce	1
Co vedlo k porážce Napoleona v Rusku?	Taktika spálené země a zima	Převaha ruské armády	Logistické problémy	3
Který filozof kritizoval církev a podporoval toleranci?	Voltaire	Rousseau	Diderot	1
Proč byla zavedena povinná vojenská služba?	Potřeba masových armád	Nízký počet profesionálů	Úspora nákladů	1
Co bylo hlavním cílem socialistů v 19. století?	Společnost bez třídních rozdílů	Návrat k feudalismu	Posílení monarchie	1
Kdo byl prvním prezidentem USA?	George Washington	Thomas Jefferson	John Adams	1
Jaký byl hlavní důvod zavedení továrního systému?	Zvýšení efektivity výroby	Snížení nákladů na mzdy	Podpora ručních řemesel	1
Co vedlo k porážce Napoleona u Waterloo?	Společná akce evropských armád	Špatné počasí	Zrada maršálů	2
Která událost zahájila Velkou francouzskou revoluci?	Dobytí Bastily	Poprava Ludvíka XVI.	Nástup jakobínů	1
Co bylo hlavním cílem Tereziánského katastru?	Evidence půdy pro daňové účely	Registrace nevolníků	Kontrola šlechty	2
Jaký byl hlavní rozdíl mezi manufakturou a továrnou?	Ruční práce vs. strojní výroba	Velikost provozu	Materiály	1
Kdo vedl stavovské povstání v Čechách (1618)?	Jindřich Matyáš Thurn	Albrecht z Valdštejna	Fridrich Falcký	1
Proč byl vynalezen telegraf?	Rychlý přenos informací na dálku	Komunikace s loděmi	Vojenské účely	1
Co bylo hlavním důvodem vzniku dělnických hnutí?	Špatné pracovní podmínky a nízké mzdy	Nespokojenost s monarchií	Náboženské důvody	2
Který panovník zavedl pragmatickou sankci?	Karel VI.	Marie Terezie	Josef II.	1
Jaký byl hlavní přínos železnice pro společnost?	Zrychlení dopravy a propojení regionů	Snižování cen potravin	Růst měst	1
Co bylo příčinou finanční krize ve Francii před revolucí?	Vysoké státní dluhy a neefektivní daňový systém	Války s Anglií	Neúroda	3
Kdo byl autorem knihy "O duchu zákonů"?	Montesquieu	Voltaire	Diderot	2
Jaký byl hlavní důvod migrace z venkova do měst během průmyslové revoluce?	Hledání práce v továrnách	Útěk před válkami	Náboženská perzekuce	1
Co bylo hlavním cílem Napoleonského občanského zákoníku?	Sjednocení práva a rovnost občanů	Posílení moci církve	Ochrana šlechty	1
Která bitva zajistila Prusku kontrolu nad Slezskem?	Bitva u Chotusic	Bitva u Kolína	Bitva u Lehnice	2
Proč byl vynalezen parní stroj?	Efektivní čerpání vody z dolů	Pohon vozidel	Výroba elektřiny	1
Co bylo hlavním důsledkem průmyslové revoluce pro životní prostředí?	Znečištění ovzduší a vody	Rozvoj zemědělství	Ochrana přírody	2
Kdo byl vůdcem anglické revoluce?	Oliver Cromwell	Karel I.	Thomas Fairfax	1
Jaký byl hlavní cíl encyklopedistů?	Shromáždění veškerého lidského vědění	Kritika církve	Podpora monarchie	2
Co vedlo k rozpadu Svaté říše římské?	Napoleonské války	Reformace	Třicetiletá válka	3
Který vynález umožnil masovou výrobu textilu?	Přístroj na spřádání bavlny	Parní tkalcovský stav	Mechanický stav	1
Proč byla zrušena jezuitská řada v 18. století?	Kritika jejich vlivu a bohatství	Podpora reformace	Nástup osvícenství	1
Co bylo hlavním cílem vídeňského systému?	Udržení rovnováhy sil v Evropě	Potrestání Francie	Rozšíření Rakouska	2
Kdo byl autorem myšlenky "volného trhu"?	Adam Smith	Karl Marx	John Stuart Mill	1
Jaký byl hlavní důvod vzniku kolonií v Americe?	Ekonomický prospěch mateřských zemí	Náboženská svoboda	Vědecký výzkum	1
Co bylo hlavním přínosem fotografie v 19. století?	Dokumentace reality a vědecký výzkum	Umělecké využití	Komunikace	2
Která událost ukončila Napoleonské "sto dní"?	Bitva u Waterloo	Bitva u Ligny	Bitva u Quatre Bras	1
Proč byl Tereziánský katastr důležitý?	Spravedlivější daňový systém	Registrace majetku šlechty	Kontrola poddaných	2
Co bylo hlavním cílem socialistů v 19. století?	Zlepšení podmínek dělnické třídy	Svržení monarchií	Náboženské reformy	1
Kdo vedl tažení proti Napoleonovi v Rusku?	Mikhail Kutuzov	Alexander I.	Barclay de Tolly	1
Jaký byl hlavní přínos vakcíny pro společnost?	Ochrana před nemocemi	Léčba infekcí	Snižování dětské úmrtnosti	1
Co bylo příčinou krize nevolnictví v 16. století?	Nedostatek pracovních sil po morových epidemiích	Vzpoury nevolníků	Tlak státu	3
Který filozof prosazoval "přirozená práva" člověka?	John Locke	Thomas Hobbes	David Hume	1
Proč byl zaveden tovární systém?	Efektivnější organizace práce	Snížení mezd	Snížení nehodovosti	1
Co bylo hlavním důvodem zániku Svaté říše římské?	Vytvoření Rýnského spolku	Vestfálský mír	Reformace	3
Kdo byl autorem knihy "Encyklopedie"?	Denis Diderot	Voltaire	Jean le Rond d'Alembert	1
Jaký byl hlavní cíl Napoleona při tažení do Egypta?	Narušit britské obchodní cesty	Dobytí nových území	Vědecký výzkum	1
Co vedlo k porážce španělské Armady?	Špatné počasí a taktika Angličanů	Převaha španělského loďstva	Zrada spojenců	2
Který vynález umožnil rychlejší výrobu oceli?	Bessemerův konvertor	Parní dmychadlo	Elektrická pec	2

Proč byla zavedena povinná školní docházka?	Zvýšení gramotnosti a kvalifikace pracovníků	Snížení kriminality	Náboženská výchova	1
